KEGG_ID	Degree_centrality	Betweenness_centrality	Closeness_centrality	Compound_name
C00002	8	4271.08440424619	5.85394409483389e-06	ATP
C00003	3	1414	5.68740864599862e-06	NAD+
C00006	1	0	5.61920870303044e-06	NADP+
C00007	1	0	5.79498501996372e-06	Oxygen
C00008	8	19688.9983396405	5.8632800361178e-06	ADP
C00009	1	0	5.65230416179155e-06	Orthophosphate
C00010	3	19173	5.83025787230569e-06	CoA
C00011	16	18643.464741122	5.87982807382712e-06	CO2
C00012	1	0	5.67359791211597e-06	Peptide
C00014	12	33007.5478897444	5.88190314858275e-06	Ammonia
C00015	7	20110.3034184472	5.81047396036095e-06	UDP
C00016	2	0	5.59437429720673e-06	FAD
C00018	1	0	6.92712182936975e-07	Pyridoxal_phosphate
C00019	5	11326.9	5.76060094589068e-06	S-Adenosyl-L-methionine
C00020	8	18429.1670494344	5.82448496991654e-06	AMP
C00021	3	3446.4	5.73259726784414e-06	S-Adenosyl-L-homocysteine
C00022	28	256311.258416179	5.9128563235042e-06	Pyruvate
C00024	29	164888.084507913	5.90029678492828e-06	Acetyl-CoA
C00025	16	46286.5683021771	5.88134965211817e-06	L-Glutamate
C00026	19	44252.55241742	5.89960059703958e-06	2-Oxoglutarate
C00027	1	0	5.79498501996372e-06	Hydrogen_peroxide
C00029	7	1641	5.71340421763499e-06	UDP-glucose
C00031	3	590.496974177684	5.71941684825815e-06	D-Glucose
C00033	5	2051.79556830578	5.85847105622375e-06	Acetate
C00035	6	15400.3264213473	5.86286752850819e-06	GDP
C00036	8	20518.1287559094	5.88100376972342e-06	Oxaloacetate
C00037	13	23038.9042498223	5.85874564255793e-06	Glycine
C00039	14	21	5.7824525694328e-06	DNA
C00040	4	0	5.83433975694141e-06	Acyl-CoA
C00041	4	7222.86795366054	5.81486628714973e-06	L-Alanine
C00043	7	3848	5.66100754612306e-06	UDP-N-acetyl-alpha-D-glucosamine
C00044	16	24003.424034067	5.86176779193069e-06	GTP
C00046	9	1815.20736783753	5.80527932101453e-06	RNA
C00047	4	24	5.65217637051147e-06	L-Lysine
C00048	4	5841	5.86727060438754e-06	Glyoxylate
C00049	17	35945.6896224734	5.8803121269677e-06	L-Aspartate
C00051	1	0	5.81189229401201e-06	Glutathione
C00052	3	9	5.71294725235802e-06	UDP-alpha-D-galactose
C00054	1	0	5.76206143509902e-06	Adenosine_3',5'-bisphosphate
C00055	4	3668.85767396504	5.76571590011474e-06	CMP
C00058	4	3425.67375389639	5.86968133500032e-06	Formate
C00060	1	0	5.82014585285507e-06	Carboxylate
