Compound_name	Metabolite_score
C00140	N-Acetyl-D-glucosamine	8.435
C00630	2-Methylpropanoyl-CoA	7.665
C05684	Selenite	7.248
C18902	Methylselenic_acid	7.248
C00343	Thioredoxin_disulfide	7.157
C00148	L-Proline	7.06
C00007	Oxygen	6.966
C03561	(R)-3-Hydroxybutanoyl-CoA	6.966
C14145	(3S)-3-Hydroxyadipyl-CoA	6.966
C00011	CO2	6.832
C05378	beta-D-Fructose_1,6-bisphosphate	6.579
C00160	Glycolate	6.527
C11062	4-Hydroxybutyryl-CoA	6.508
C00689	alpha,alpha'-Trehalose_6-phosphate	6.492
C01094	D-Fructose_1-phosphate	6.398
C12214	Aminofructose_6-phosphate	6.304
C00989	4-Hydroxybutanoic_acid	6.267
C00506	L-Cysteate	6.257
C00206	dADP	6.176
C16396	2,4-Diamino-6-nitrotoluene	6.08
C00441	L-Aspartate_4-semialdehyde	5.874
C00075	UTP	5.833
C00063	CTP	5.667
C06188	Salicin_6-phosphate	5.644
C00085	D-Fructose_6-phosphate	5.561
C01419	Cys-Gly	5.508
C05729	R-S-Cysteinylglycine	5.508
C00058	Formate	5.285
C01217	5,6,7,8-Tetrahydromethanopterin	5.229
C00159	D-Mannose	5.17
C00041	L-Alanine	5.14
C00256	(R)-Lactate	5.087
C00091	Succinyl-CoA	5.047
C00407	L-Isoleucine	5
C00002	ATP	4.73
C20375	Glutaryl-[acp]_methyl_ester	4.7
C19673	Malonyl-[acp]_methyl_ester	4.7
C00469	Ethanol	4.644
C00226	Primary_alcohol	4.644
C02972	Dihydrolipoylprotein	4.644
C02909	(2-Naphthyl)methanol	4.644
C14089	1-Hydroxymethylnaphthalene	4.644
C01127	4-Hydroxy-2-oxoglutarate	4.644
C01144	(S)-3-Hydroxybutanoyl-CoA	4.632
C00183	L-Valine	4.524
C00288	HCO3-	4.476
C00188	L-Threonine	4.465
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.322
C00072	Ascorbate	4.248
C01089	(R)-3-Hydroxybutanoate	4.17
C15811	[Enzyme]-cysteine	4.087
C02962	D-Allose_6-phosphate	4.087
C00123	L-Leucine	4.087
C09814	Benzonitrile	4
C16216	3-Oxostearoyl-CoA	4
C02938	3-Indoleacetonitrile	4
C00446	alpha-D-Galactose_1-phosphate	4
C05714	alpha-Aminopropiononitrile	4
C05715	gamma-Amino-gamma-cyanobutanoate	4
C16074	Phenylacetonitrile	4
C00726	Nitrile	4
C15973	Enzyme_N6-(dihydrolipoyl)lysine	3.961
C00620	alpha-D-Ribose_1-phosphate	3.954
C00078	L-Tryptophan	3.907
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	3.907
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	3.907
C00221	beta-D-Glucose	3.807
C05841	Nicotinate_D-ribonucleoside	3.807
C00080	H+	3.807
C00330	Deoxyguanosine	3.807
C16633	5-Fluorouridine	3.807
C00301	ADP-ribose	3.807
C01050	UDP-N-acetylmuramate	3.778
C01697	Galactitol	3.7
C16272	3-Hydroxy-5-oxohexanoate	3.7
C06250	Holo-[carboxylase]	3.605
