Compound_name	Metabolite_score	Significance	Lower_95_Confidence	Upper_95_Confidence
Butanal	8.253	<0.01	4.67655725376	6.78034783496
2-Methylpropanoyl-CoA	8.055	<0.01	4.67655725376	6.78034783496
N-Acetyl-D-glucosamine	7.285	<0.01	4.67655725376	6.78034783496
Selenite	7.119	<0.01	4.67655725376	6.78034783496
Methylselenic_acid	7.119	<0.01	4.67655725376	6.78034783496
(3S)-3-Hydroxyadipyl-CoA	6.977	<0.01	4.67655725376	6.78034783496
Thioredoxin_disulfide	6.97	<0.01	4.99933349394	6.09173930519
(R)-3-Hydroxybutanoyl-CoA	6.948	<0.05	4.67655725376	6.78034783496
L-Proline	6.796	<0.01	-3.56243680529	-2.27754963324
dADP	6.74	<0.01	4.77585545911	5.89585277828
D-Fructose_1-phosphate	6.481	<0.01	3.95351040693	5.08634345264
alpha,alpha'-Trehalose_6-phosphate	6.313	<0.01	-5.29080479983	-4.21601782338
beta-D-Fructose_1,6-bisphosphate	6.196	<0.01	1.88689322501	3.03280552671
Glycolate	6.124	<0.01	1.02687698302	2.14889497264
CO2	5.77	<0.01	-4.81904918922	-3.47086263641
D-Fructose_6-phosphate	5.706	<0.01	-3.74456224551	-2.61487846877
Acetaldehyde	5.683	<0.01	2.99403732047	4.21759846306
2,4-Diamino-6-nitrotoluene	5.585	<0.01	5.79213167655	7.39586952049
D-Mannitol_1-phosphate	5.539	<0.01	4.00810385036	5.08366915627
dGDP	5.369	<0.01	3.34843061674	4.50461466544
Formate	5.34	<0.01	-5.02228868464	-3.8819648201
L-Cysteate	5.285	<0.01	5.97787754336	7.53597190188
Nicotinamide-beta-riboside	5.15	<0.01	5.94539880478	7.51366037029
L-Aspartate_4-semialdehyde	5.12	<0.01	2.80436651122	4.01069841583
Cys-Gly	5.109	<0.01	-5.2636746278	-4.18567646549
R-S-Cysteinylglycine	5.109	<0.01	-5.2636746278	-4.18567646549
alpha-D-Glucose_6-phosphate	4.942	<0.05	4.96246000191	6.06666677607
Guanosine	4.874	<0.01	6.01639746594	7.57766250018
Inosine	4.773	<0.01	-5.20683572497	-4.12944097947
5-Amino-6-(1-D-ribitylamino)uracil	4.755	<0.01	2.64978108655	3.70275340466
Xanthosine	4.714	<0.01	5.97002081438	7.53089362647
D-Proline	4.7	<0.01	-5.01703620761	-3.93915057667
(S)-3-Hydroxybutanoyl-CoA	4.651	<0.01	2.87495201428	4.24908045993
Acyl-carrier_protein	4.644	<0.01	-0.0296430144243	1.03047433082
1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.644	<0.01	-3.92593906633	-2.87128576057
N-Acetylneuraminate	4.644	<0.05	4.67655725376	6.78034783496
Adenosine	4.605	<0.01	5.77423320242	7.38029781983
Holo-[carboxylase]	4.595	<0.01	5.25315674982	6.36836681243
D-Tagatose_6-phosphate	4.585	<0.01	5.94978815626	7.51914417686
6-Thioinosine-5'-monophosphate	4.524	<0.01	-2.11390672458	-1.05898861296
trans-Tetradec-2-enoyl-[acp]	4.524	<0.01	-1.53595116259	-0.464975153694
trans-Hexadec-2-enoyl-[acp]	4.524	<0.01	-1.53595116259	-0.464975153694
(2E)-Octadecenoyl-[acp]	4.524	<0.01	-1.53595116259	-0.464975153694
trans-Hex-2-enoyl-[acp]	4.524	<0.01	-1.53595116259	-0.464975153694
trans-Oct-2-enoyl-[acp]	4.524	<0.01	-1.53595116259	-0.464975153694
trans-Dec-2-enoyl-[acp]	4.524	<0.01	-1.53595116259	-0.464975153694
trans-Dodec-2-enoyl-[acp]	4.524	<0.01	-1.53595116259	-0.464975153694
But-2-enoyl-[acyl-carrier_protein]	4.524	<0.01	-1.53595116259	-0.464975153694
D-Mannose	4.492	<0.01	5.49811404979	7.17881748865
Octanoyl-[acp]	4.459	<0.01	2.46557375379	3.54643845403
Dodecanoyl-[acyl-carrier_protein]	4.459	<0.01	2.46557375379	3.54643845403
Hexadecanoyl-[acp]	4.459	<0.01	2.46557375379	3.54643845403
Tetradecanoyl-[acp]	4.459	<0.01	2.46557375379	3.54643845403
Decanoyl-[acp]	4.459	<0.01	2.46557375379	3.54643845403
Hexanoyl-[acp]	4.459	<0.01	2.46557375379	3.54643845403
Butyryl-[acp]	4.459	<0.01	2.46557375379	3.54643845403
6-Carboxyhex-2-enoyl-CoA	4.248	<0.01	4.67655725376	6.78034783496
2-Hydroxy-3-carboxybenzalpyruvate	4.248	<0.01	4.67655725376	6.78034783496
Perillyl-CoA	4.248	<0.01	4.67655725376	6.78034783496
2-Hydroxy-4-hydroxymethylbenzalpyruvate	4.248	<0.01	4.67655725376	6.78034783496
2-Hydroxy-3-methylbenzalpyruvate	4.248	<0.01	4.67655725376	6.78034783496
2-Hydroxyglutaryl-CoA	4.248	<0.01	4.67655725376	6.78034783496
