Compound_code	Compound_name	Metabolite_score	Significance	Lower_95_Confidence	Upper_95_Confidence
C05528	3-Sulfopyruvate	-9.344	n.s.	-9.45976598885	-8.48183806185
C05527	3-Sulfinylpyruvate	0.0	n.s.	0.0	0.0
C00027	Hydrogen_peroxide	-8.697	<0.01	-7.85799075985	-6.10497852907
C02876	Propanoyl_phosphate	6.775	<0.01	-2.72846239765	-1.92025261355
C16242	Cobalt-precorrin_5A	-1.585	<0.01	-3.74687214656	-3.035614084
C16243	Cobalt-precorrin_5B	-1.585	<0.01	2.6469519992	3.35686705307
C06723	6-Carboxyhex-2-enoyl-CoA	6.248	n.s.	6.10497852907	7.85799075985
C00944	3-Dehydroquinate	-3.0	<0.01	-7.85799075985	-6.10497852907
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	5.248	<0.01	6.10497852907	7.85799075985
C02430	L-Methionyl-tRNA	-4.524	<0.01	3.16138835762	3.88162407113
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-3.17	<0.01	2.10067308715	2.80640787398
C14819	Fe3+	-8.752	<0.01	-7.85799075985	-6.10497852907
C14818	Fe2+	8.752	<0.01	6.10497852907	7.85799075985
C00431	5-Aminopentanoate	-10.361	<0.01	-9.50312490737	-8.52673037839
C00437	N-Acetylornithine	3.907	<0.01	-3.53663099629	-2.81550032406
C01451	Salicin	4.17	<0.01	6.10497852907	7.85799075985
C00438	N-Carbamoyl-L-aspartate	-5.129	<0.01	-1.39749942896	-0.599926092868
C00826	L-Arogenate	2.585	<0.01	6.10497852907	7.85799075985
C00534	Pyridoxamine	0.0	<0.01	0.0	0.0
C00469	Ethanol	10.222	<0.01	8.50073037839	9.47552117825
C01181	4-Trimethylammoniobutanoate	-2.585	<0.01	-7.85799075985	-6.10497852907
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	4.087	<0.01	3.73557998121	4.44826634353
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.524	<0.01	6.10497852907	7.85799075985
C01185	Nicotinate_D-ribonucleotide	6.257	<0.01	-3.26499132844	-2.55312375653
C15812	[Enzyme]-S-sulfanylcysteine	-6.7	<0.01	-3.35775869952	-2.6429884334
C15813	C15813	0.0	<0.01	0.0	0.0
C15810	C15810	0.0	<0.01	0.0	0.0
C15811	[Enzyme]-cysteine	7.022	n.s.	6.10497852907	7.85799075985
C15814	C15814	0.0	n.s.	0.0	0.0
C15815	C15815	0.0	<0.01	3.81096125028	4.61409667829
C16688	Sucrose_6-phosphate	-0.0	<0.01	-2.94330672415	-2.22982738234
C05752	Octanoyl-[acp]	5.728	<0.01	4.00597919613	4.71540011395
C00794	D-Sorbitol	8.909	n.s.	8.23174511547	9.24217943591
C05840	Iminoaspartate	-0.0	<0.01	-2.81330804833	-2.09535362441
C00886	L-Alanyl-tRNA	-6.022	<0.05	-7.85799075985	-6.10497852907
C00506	L-Cysteate	9.344	n.s.	8.48183806185	9.45976598885
C01233	sn-Glycero-3-phosphoethanolamine	3.807	<0.01	6.10497852907	7.85799075985
C00226	Primary_alcohol	10.222	<0.01	8.50073037839	9.47552117825
C00222	3-Oxopropanoate	0.0	<0.01	0.0	0.0
C00221	beta-D-Glucose	5.0	<0.01	6.10497852907	7.85799075985
C00385	Xanthine	-5.098	n.s.	-5.36217856334	-4.56133530557
C00387	Guanosine	6.087	<0.01	8.51087811819	9.48399285758
C02504	alpha-Isopropylmalate	0.0	<0.01	-4.62200122754	-3.88653908319
C00229	Acyl-carrier_protein	-1.0	<0.01	-0.360030716139	0.361140698527
C00499	Allantoate	6.375	n.s.	6.10497852907	7.85799075985
C00380	Cytosine	0.0	n.s.	0.0	0.0
C16396	2,4-Diamino-6-nitrotoluene	9.814	<0.01	8.37254547708	9.35366004221
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	<0.01	0.0	0.0
C00546	Methylglyoxal	-7.017	<0.01	-9.47538508089	-8.49568813097
C16399	2,4-Diamino-6-hydroxylaminotoluene	-9.814	<0.01	-9.35366004221	-8.37254547708
C16217	3-Hydroxyoctadecanoyl-CoA	-5.358	<0.01	-7.85799075985	-6.10497852907
C02291	L-Cystathionine	5.358	<0.01	6.10497852907	7.85799075985
C00364	dTMP	-5.044	<0.01	-1.35522760743	-0.646125714244
C00365	dUMP	3.585	<0.01	-5.99033400244	-5.18149294807
C00362	dGMP	0.0	<0.01	0.0	0.0
C16244	Cobalt-precorrin_7	0.0	<0.01	0.938401888741	1.64788699282
C00360	dAMP	0.0	<0.01	0.0	0.0
C00008	ADP	-6.605	<0.01	5.99562670904	6.79424218677
C00007	Oxygen	8.697	<0.01	6.10497852907	7.85799075985
C00006	NADP+	-5.781	<0.01	-7.85799075985	-6.10497852907
C00003	NAD+	-3.273	<0.01	3.16905090113	3.88525027038
C00002	ATP	6.537	<0.01	-7.76685308586	-7.00200183642
C00369	Starch	8.053	<0.01	2.86743552921	3.62736753831
C05703	Methaneselenol	-9.046	n.s.	-9.48528284669	-8.50526532772
C06613	trans-3-Chloroallyl_aldehyde	-8.477	<0.01	5.06176841495	5.96145415212
C06507	Adenosyl_cobyrinate_hexaamide	-0.678	<0.01	-3.07040726661	-2.32347717564
C16619	6-Thioguanosine_monophosphate	-6.304	<0.01	-9.47644018978	-8.49507850418
C11062	4-Hydroxybutyryl-CoA	8.892	<0.01	6.10497852907	7.85799075985
C02612	(R)-2-Methylmalate	1.0	<0.01	8.46499452974	9.45523564069
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-4.585	<0.01	-7.85799075985	-6.10497852907
C16614	6-Methylmercaptopurine	4.585	<0.01	6.10497852907	7.85799075985
C00645	N-Acetyl-D-mannosamine	-5.96	<0.01	-9.44969092103	-8.46777193764
C00099	beta-Alanine	-2.624	<0.01	3.94914163035	4.70811847364
C00311	Isocitrate	0.0	<0.01	-2.21237222008	-1.37536076622
C00310	D-Xylulose	-2.322	<0.01	3.64341476552	4.36096414377
C00641	1,2-Diacyl-sn-glycerol	-3.848	n.s.	-4.12706873519	-3.3831452107
C01931	L-Lysyl-tRNA	-7.248	n.s.	-7.85799075985	-6.10497852907
C00315	Spermidine	0.0	n.s.	0.0	0.0
C00314	Pyridoxine	4.524	<0.01	6.10497852907	7.85799075985
C00091	Succinyl-CoA	7.371	<0.01	-7.04932675314	-6.07325115228
C00760	Cellulose	-1.737	<0.01	-1.38504183595	-0.614560325061
C00093	sn-Glycerol_3-phosphate	5.697	<0.01	-6.70091987094	-5.95503591686
C00094	Sulfite	-2.433	<0.01	-6.15816952348	-4.97330955674
C00095	D-Fructose	-7.804	<0.01	-6.59036544533	-5.85378022647
C00096	GDP-mannose	0.0	<0.01	0.0	0.0
C00097	L-Cysteine	6.449	<0.01	-5.84435458066	-5.06000375753
C14099	2-Naphthaldehyde	-10.222	<0.01	-9.47552117825	-8.50073037839
C06311	Galactitol_1-phosphate	-8.741	n.s.	-9.34918147881	-8.36344676649
C00433	2,5-Dioxopentanoate	2.585	<0.01	6.10497852907	7.85799075985
C14090	1-Naphthaldehyde	-10.222	<0.01	-9.47552117825	-8.50073037839
C14095	2-Hydroxy-3-carboxybenzalpyruvate	6.248	n.s.	6.10497852907	7.85799075985
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	4.322	<0.01	6.10497852907	7.85799075985
C14096	3-Formylsalicylic_acid	-6.248	n.s.	-7.85799075985	-6.10497852907
C02702	L-Prolyl-tRNA(Pro)	-8.928	<0.01	-7.85799075985	-6.10497852907
C04732	5-Amino-6-(1-D-ribitylamino)uracil	3.17	<0.01	-2.80640787398	-2.10067308715
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	<0.01	0.0	0.0
C05172	Selenophosphoric_acid	2.0	<0.01	6.10497852907	7.85799075985
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	2.585	<0.01	6.10497852907	7.85799075985
C11949	3-Isopropylbut-3-enoyl-CoA	-2.585	<0.01	-7.85799075985	-6.10497852907
C05775	alpha-Ribazole	-4.0	<0.01	3.36820034642	4.14635891927
C07118	Benzoyl_acetyl-CoA	2.585	<0.01	6.10497852907	7.85799075985
C05773	Cobyrinate	-4.17	<0.01	-7.85799075985	-6.10497852907
C05778	Sirohydrochlorin	3.17	<0.01	3.24679344768	4.04446655198
C05670	3-Aminopropiononitrile	5.0	<0.01	6.10497852907	7.85799075985
C00164	Acetoacetate	-3.087	<0.01	5.44436512886	6.22878752453
C00166	Phenylpyruvate	6.633	<0.01	-6.71155836207	-5.74584623259
C00167	UDP-glucuronate	-4.644	<0.01	-7.85799075985	-6.10497852907
C00160	Glycolate	8.203	<0.01	3.26858097638	4.01948862876
C03794	N6-(1,2-Dicarboxyethyl)-AMP	4.322	<0.01	2.73659547598	3.60569041286
C00162	Fatty_acid	2.585	<0.01	6.10497852907	7.85799075985
C00163	Propanoate	7.907	<0.05	6.10497852907	7.85799075985
C02984	L-Aspartyl-tRNA(Asp)	-6.229	n.s.	-7.85799075985	-6.10497852907
C02987	L-Glutamyl-tRNA(Glu)	-5.129	<0.01	-7.85799075985	-6.10497852907
C00169	Carbamoyl_phosphate	-5.044	<0.01	3.54335136254	4.27905307302
C02047	L-Leucyl-tRNA	-6.6	n.s.	-7.85799075985	-6.10497852907
C03082	4-Phospho-L-aspartate	-4.807	<0.01	0.626861435409	1.37364431517
C04377	5,10-Methylenetetrahydromethanopterin	-7.077	n.s.	-7.85799075985	-6.10497852907
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.066	<0.01	4.07242415002	4.78448871958
C20396	Methylphosphonate	0.0	<0.01	8.20135179454	9.21824452632
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-6.827	<0.01	-3.46789448793	-2.70513694119
C03089	5-Methylthio-D-ribose	0.0	<0.01	0.0	0.0
C00860	L-Histidinol	-3.459	<0.01	-5.1660298837	-4.45771259659
C00862	Methanofuran	0.0	<0.01	0.0	0.0
C02962	D-Allose_6-phosphate	7.16	n.s.	6.10497852907	7.85799075985
C00864	Pantothenate	4.248	<0.01	-2.14855839707	-1.43387977519
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.322	<0.01	2.69616833063	3.47513995553
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	<0.01	0.0	0.0
C00906	5,6-Dihydrothymine	4.0	<0.01	6.10497852907	7.85799075985
C01419	Cys-Gly	8.271	<0.01	-4.68298369697	-3.97408040041
C16186	L-Ascorbate_6-phosphate	-6.304	<0.01	-9.4683616689	-8.48577193764
C01149	4-Trimethylammoniobutanal	2.585	<0.01	6.10497852907	7.85799075985
C01144	(S)-3-Hydroxybutanoyl-CoA	8.662	<0.01	4.82578465124	5.70078747047
C01146	2-Hydroxy-3-oxopropanoate	-3.585	<0.01	-7.85799075985	-6.10497852907
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	<0.01	0.0	0.0
C01142	(3S)-3,6-Diaminohexanoate	-5.615	<0.01	-7.85799075985	-6.10497852907
C06510	Adenosine-GDP-cobinamide	-4.858	<0.01	-3.81399631252	-3.10303502258
C03561	(R)-3-Hydroxybutanoyl-CoA	10.509	<0.01	6.10497852907	7.85799075985
C03402	L-Asparaginyl-tRNA(Asn)	-5.644	<0.01	-7.85799075985	-6.10497852907
C03406	N-(L-Arginino)succinate	-5.087	<0.01	-7.85799075985	-6.10497852907
C05512	Deoxyinosine	5.79	<0.01	1.77568645237	2.54989668028
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	0.0	<0.01	0.0	0.0
C07645	Aldophosphamide	5.248	<0.01	6.10497852907	7.85799075985
C07648	Thioguanine	4.585	<0.01	6.10497852907	7.85799075985
C05519	L-Allothreonine	0.0	<0.01	0.0	0.0
C00327	L-Citrulline	4.766	<0.01	3.93600216613	4.64441597194
