Compound_code	Compound_name	Metabolite_score	Significance	Lower_95_Confidence	Upper_95_Confidence
C05528	3-Sulfopyruvate	-2.807	<0.01	-6.9899342312	-5.13478512936
C05527	3-Sulfinylpyruvate	0.0	<0.01	0.0	0.0
C00027	Hydrogen_peroxide	0.0	<0.01	-6.22997789582	-3.7967675064
C02876	Propanoyl_phosphate	-5.931	<0.01	0.562153158566	2.03040906793
C16242	Cobalt-precorrin_5A	-1.585	<0.01	2.1519442214	3.49379856964
C16243	Cobalt-precorrin_5B	0.0	<0.01	-3.58023841587	-2.26081862803
C06723	6-Carboxyhex-2-enoyl-CoA	3.322	<0.01	3.7967675064	6.22997789582
C00944	3-Dehydroquinate	-0.0	<0.01	-6.22997789582	-3.7967675064
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	0.0	<0.01	3.7967675064	6.22997789582
C02430	L-Methionyl-tRNA	-3.7	<0.01	-1.95211687103	-0.644512547647
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-0.0	<0.01	-2.46288207198	-1.14241202063
C14819	Fe3+	-3.17	<0.01	-6.22997789582	-3.7967675064
C14818	Fe2+	3.17	<0.01	3.7967675064	6.22997789582
C00431	5-Aminopentanoate	-5.687	n.s.	-6.89900409082	-5.05324297754
C00437	N-Acetylornithine	0.0	<0.01	1.80863933125	3.09936066875
C01451	Salicin	0.0	<0.01	3.7967675064	6.22997789582
C00438	N-Carbamoyl-L-aspartate	1.807	n.s.	0.572797578741	2.02287960592
C00826	L-Arogenate	0.0	<0.01	3.7967675064	6.22997789582
C00534	Pyridoxamine	0.0	<0.01	0.0	0.0
C00469	Ethanol	3.248	<0.01	5.11956080169	6.93983874115
C01181	4-Trimethylammoniobutanoate	0.0	<0.01	-6.22997789582	-3.7967675064
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	0.0	<0.01	-2.68316471477	-1.33222572937
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	0.0	<0.01	3.7967675064	6.22997789582
C01185	Nicotinate_D-ribonucleotide	1.322	<0.01	-2.66915990349	-1.36758178151
C15812	[Enzyme]-S-sulfanylcysteine	-2.0	<0.01	0.626605554845	1.96243570999
C15813	C15813	0.0	<0.01	0.0	0.0
C15810	C15810	0.0	<0.01	0.0	0.0
C15811	[Enzyme]-cysteine	2.322	<0.01	3.7967675064	6.22997789582
C15814	C15814	0.0	<0.01	0.0	0.0
C15815	C15815	0.0	<0.01	1.98567091963	3.44716624028
C16688	Sucrose_6-phosphate	0.0	<0.01	-2.45127977088	-1.14769973012
C05752	Octanoyl-[acp]	3.17	<0.01	-2.2426644461	-0.942151523901
C00794	D-Sorbitol	0.0	<0.01	5.09456080169	6.93844304507
C05840	Iminoaspartate	0.0	<0.01	-3.46796456611	-2.16276479249
C00886	L-Alanyl-tRNA	-2.0	<0.01	-6.22997789582	-3.7967675064
C00506	L-Cysteate	2.807	<0.01	5.13478512936	6.9899342312
C01233	sn-Glycero-3-phosphoethanolamine	0.0	<0.01	3.7967675064	6.22997789582
C00226	Primary_alcohol	3.248	<0.01	5.11956080169	6.93983874115
C00222	3-Oxopropanoate	0.0	<0.01	0.0	0.0
C00221	beta-D-Glucose	0.0	<0.01	3.7967675064	6.22997789582
C00385	Xanthine	0.394	<0.01	-3.16834097624	-1.78023319446
