uniqeID 	MouseID 	Treatment 	Toxin_Titer
clinda_c1m1	c1m1	clindamycin	2.301029996
clinda_c1m2	c1m2	clindamycin	2.301029996
clinda_c1m3	c1m3	clindamycin	2.301029996
clinda_c2m1	c2m1	clindamycin	2.301029996
clinda_c2m2	c2m2	clindamycin	2
clinda_c2m3	c2m3	clindamycin	1.99999
clinda_c3m1	c3m1	clindamycin	1.99999
clinda_c3m2	c3m2	clindamycin	2.301029996
clinda_c3m3	c3m3	clindamycin	2.301029996
strep_c1m1	c1m1	streptomycin	1.99999
strep_c1m2	c1m2	streptomycin	1.99999
strep_c1m3	c1m3	streptomycin	1.99999
strep_c2m1	c2m1	streptomycin	3
strep_c2m2	c2m2	streptomycin	1.99999
strep_c2m3	c2m3	streptomycin	2.301029996
strep_c3m1	c3m1	streptomycin	1.99999
strep_c3m2	c3m2	streptomycin	1.99999
strep_c3m3	c3m3	streptomycin	1.99999
cef_c1m1	c1m1	cefoperazone	1.99999
cef_c1m2	c1m2	cefoperazone	3
cef_c1m3	c1m3	cefoperazone	1.99999
cef_c2m1	c2m1	cefoperazone	2.301029996
cef_c2m2	c2m2	cefoperazone	2.301029996
cef_c2m3	c2m3	cefoperazone	2.301029996
cef_c3m1	c3m1	cefoperazone	1.99999
cef_c3m2	c3m2	cefoperazone	2.301029996
cef_c3m3	c3m3	cefoperazone	2.301029996
gf_c1m1	c1m1	germfree	3
gf_c1m2	c1m2	germfree	3
gf_c1m3	c1m3	germfree	3
gf_c2m1	c2m1	germfree	3
gf_c2m2	c2m2	germfree	3
gf_c2m3	c2m3	germfree	3
gf_c3m1	c3m1	germfree	3
gf_c3m2	c3m2	germfree	3
gf_c3m3	c3m3	germfree	3
