Compound_code	Lower_99_Interval	Lower_95_Interval	Sim_Median	Upper_95_Interval	Upper_99_Interval
C05528	-6.941	-6.908	-6.7345	-6.561	-6.528
C05527	0.0	0.0	0.0	0.0	0.0
C00027	-6.077	-5.994	-5.555	-5.116	-5.033
C02876	0.887	1.088	2.161	3.234	3.435
C16242	0.706	0.878	1.7925	2.707	2.879
C16243	1.236	1.408	2.322	3.236	3.408
C06723	5.033	5.116	5.555	5.994	6.077
C00944	-6.077	-5.994	-5.555	-5.116	-5.033
C16595	5.033	5.116	5.555	5.994	6.077
C02430	-4.545	-4.373	-3.459	-2.545	-2.373
C04332	-2.094	-1.921	-1.0	-0.079	0.094
C14819	-6.077	-5.994	-5.555	-5.116	-5.033
C14818	5.033	5.116	5.555	5.994	6.077
C00431	-6.949	-6.915	-6.7345	-6.554	-6.52
C00437	-5.511	-5.334	-4.392	-3.45	-3.273
C01451	5.033	5.116	5.555	5.994	6.077
C00438	-1.254	-1.056	0.0	1.056	1.254
C00826	5.033	5.116	5.555	5.994	6.077
C00534	0.0	0.0	0.0	0.0	0.0
C00469	6.553	6.586	6.7615	6.937	6.97
C01181	-6.077	-5.994	-5.555	-5.116	-5.033
C04877	1.919	2.09	3.0	3.91	4.081
C04874	5.033	5.116	5.555	5.994	6.077
C01185	-5.229	-5.055	-4.1285	-3.202	-3.028
C15812	1.084	1.254	2.161	3.068	3.238
C15813	0.0	0.0	0.0	0.0	0.0
C15810	0.0	0.0	0.0	0.0	0.0
C15811	5.033	5.116	5.555	5.994	6.077
C15814	0.0	0.0	0.0	0.0	0.0
C15815	-2.859	-2.658	-1.585	-0.512	-0.311
C16688	-3.993	-3.821	-2.9035	-1.986	-1.814
C05752	-3.66	-3.49	-2.585	-1.68	-1.51
C00794	6.382	6.414	6.585	6.756	6.788
C05840	-4.411	-4.239	-3.322	-2.405	-2.233
C00886	-6.077	-5.994	-5.555	-5.116	-5.033
C00506	6.528	6.561	6.7345	6.908	6.941
C01233	5.033	5.116	5.555	5.994	6.077
C00226	6.553	6.586	6.7615	6.937	6.97
C00222	0.0	0.0	0.0	0.0	0.0
C00221	5.033	5.116	5.555	5.994	6.077
C00385	-5.12	-4.921	-3.857	-2.793	-2.594
C00387	6.623	6.653	6.8135	6.974	7.004
C02504	-5.429	-5.249	-4.285	-3.321	-3.141
C00229	1.358	1.531	2.4535	3.376	3.549
C00499	5.033	5.116	5.555	5.994	6.077
C00380	0.0	0.0	0.0	0.0	0.0
C16396	6.462	6.494	6.665	6.836	6.868
C14463	0.0	0.0	0.0	0.0	0.0
C00546	-6.925	-6.892	-6.714	-6.536	-6.503
C16399	-6.868	-6.836	-6.665	-6.494	-6.462
C16217	-6.077	-5.994	-5.555	-5.116	-5.033
C02291	5.033	5.116	5.555	5.994	6.077
C00364	1.923	2.093	3.0	3.907	4.077
C00365	-5.077	-4.876	-3.807	-2.738	-2.537
C00362	0.0	0.0	0.0	0.0	0.0
C16244	0.697	0.87	1.7925	2.715	2.888
C00360	0.0	0.0	0.0	0.0	0.0
C00008	3.353	3.552	4.6145	5.677	5.876
C00007	5.033	5.116	5.555	5.994	6.077
C00006	-6.077	-5.994	-5.555	-5.116	-5.033
C00003	3.332	3.505	4.4255	5.346	5.519
C00002	-7.067	-6.89	-5.9425	-4.995	-4.818
C00369	-1.662	-1.479	-0.5	0.479	0.662
C05703	-6.924	-6.89	-6.707	-6.524	-6.49
C06613	1.282	1.505	2.696	3.887	4.11
C06507	-3.854	-3.671	-2.696	-1.721	-1.538
C16619	-6.904	-6.87	-6.687	-6.504	-6.47
C11062	5.033	5.116	5.555	5.994	6.077
C02612	6.499	6.533	6.714	6.895	6.929
C16615	-6.077	-5.994	-5.555	-5.116	-5.033
C16614	5.033	5.116	5.555	5.994	6.077
C00645	-6.949	-6.916	-6.741	-6.566	-6.533
C00099	2.045	2.235	3.246	4.257	4.447
C00311	-0.341	-0.129	1.0	2.129	2.341
C00310	1.355	1.529	2.4535	3.378	3.552
C00641	0.842	1.024	2.0	2.976	3.158
C01931	-6.077	-5.994	-5.555	-5.116	-5.033
C00315	0.0	0.0	0.0	0.0	0.0
C00314	5.033	5.116	5.555	5.994	6.077
C00091	-5.885	-5.655	-4.4255	-3.196	-2.966
C00760	-2.988	-2.8	-1.7925	-0.785	-0.597
C00093	-6.041	-5.858	-4.8825	-3.907	-3.724
C00094	-5.001	-4.736	-3.322	-1.908	-1.643
C00095	-5.914	-5.731	-4.755	-3.779	-3.596
C00096	0.0	0.0	0.0	0.0	0.0
C00097	-4.688	-4.494	-3.459	-2.424	-2.23
C14099	-6.97	-6.937	-6.7615	-6.586	-6.553
C06311	-6.82	-6.786	-6.6075	-6.429	-6.395
C00433	5.033	5.116	5.555	5.994	6.077
C14090	-6.97	-6.937	-6.7615	-6.586	-6.553
C14095	5.033	5.116	5.555	5.994	6.077
C15667	5.033	5.116	5.555	5.994	6.077
C14096	-6.077	-5.994	-5.555	-5.116	-5.033
C02702	-6.077	-5.994	-5.555	-5.116	-5.033
C04732	-0.094	0.079	1.0	1.921	2.094
C04734	0.0	0.0	0.0	0.0	0.0
C05172	5.033	5.116	5.555	5.994	6.077
C11948	5.033	5.116	5.555	5.994	6.077
C11949	-6.077	-5.994	-5.555	-5.116	-5.033
C05775	-2.196	-2.008	-1.0	0.008	0.196
C07118	5.033	5.116	5.555	5.994	6.077
C05773	-6.077	-5.994	-5.555	-5.116	-5.033
C05778	0.026	0.226	1.2925	2.359	2.559
C05670	5.033	5.116	5.555	5.994	6.077
C00164	2.867	3.059	4.087	5.115	5.307
C00166	-5.26	-5.022	-3.7535	-2.485	-2.247
C00167	-6.077	-5.994	-5.555	-5.116	-5.033
C00160	-1.658	-1.475	-0.5	0.475	0.658
C03794	-0.894	-0.674	0.5	1.674	1.894
C00162	5.033	5.116	5.555	5.994	6.077
C00163	5.033	5.116	5.555	5.994	6.077
C02984	-6.077	-5.994	-5.555	-5.116	-5.033
C02987	-6.077	-5.994	-5.555	-5.116	-5.033
C00169	2.61	2.791	3.7535	4.716	4.897
C02047	-6.077	-5.994	-5.555	-5.116	-5.033
C03082	2.375	2.556	3.522	4.488	4.669
C04377	-6.077	-5.994	-5.555	-5.116	-5.033
C04376	-2.386	-2.213	-1.2925	-0.372	-0.199
C20396	6.197	6.231	6.4175	6.604	6.638
C20258	-2.189	-2.001	-1.0	0.001	0.189
C03089	0.0	0.0	0.0	0.0	0.0
C00860	-2.683	-2.509	-1.585	-0.661	-0.487
C00862	0.0	0.0	0.0	0.0	0.0
C02962	5.033	5.116	5.555	5.994	6.077
C00864	0.902	1.076	2.0	2.924	3.098
C04272	-3.66	-3.47	-2.4535	-1.437	-1.247
C04501	0.0	0.0	0.0	0.0	0.0
C00906	5.033	5.116	5.555	5.994	6.077
C01419	-5.714	-5.54	-4.6145	-3.689	-3.515
C16186	-6.978	-6.946	-6.781	-6.616	-6.584
C01149	5.033	5.116	5.555	5.994	6.077
C01144	1.316	1.534	2.696	3.858	4.076
C01146	-6.077	-5.994	-5.555	-5.116	-5.033
C04421	0.0	0.0	0.0	0.0	0.0
C01142	-6.077	-5.994	-5.555	-5.116	-5.033
C06510	-2.681	-2.508	-1.585	-0.662	-0.489
C03561	5.033	5.116	5.555	5.994	6.077
C03402	-6.077	-5.994	-5.555	-5.116	-5.033
C03406	-6.077	-5.994	-5.555	-5.116	-5.033
C05512	1.615	1.804	2.807	3.81	3.999
C04181	0.0	0.0	0.0	0.0	0.0
C07645	5.033	5.116	5.555	5.994	6.077
C07648	5.033	5.116	5.555	5.994	6.077
C05519	0.0	0.0	0.0	0.0	0.0
C00327	0.704	0.876	1.7925	2.709	2.881
C00692	-2.097	-1.924	-1.0	-0.076	0.097
C02320	5.033	5.116	5.555	5.994	6.077
C00084	1.075	1.272	2.322	3.372	3.569
C02463	5.033	5.116	5.555	5.994	6.077
C05269	-6.077	-5.994	-5.555	-5.116	-5.033
C03232	-6.077	-5.994	-5.555	-5.116	-5.033
C18096	-6.077	-5.994	-5.555	-5.116	-5.033
C00269	-5.772	-5.598	-4.672	-3.746	-3.572
C09814	5.033	5.116	5.555	5.994	6.077
C11539	5.033	5.116	5.555	5.994	6.077
C11538	-6.077	-5.994	-5.555	-5.116	-5.033
C00263	-2.245	-1.969	-0.5	0.969	1.245
C00262	2.356	2.559	3.6425	4.726	4.929
C13629	0.0	0.0	0.0	0.0	0.0
C16216	5.033	5.116	5.555	5.994	6.077
C00267	-4.778	-4.59	-3.585	-2.58	-2.392
C00266	-6.077	-5.994	-5.555	-5.116	-5.033
C04494	-3.259	-3.086	-2.161	-1.236	-1.063
C00402	-6.077	-5.994	-5.555	-5.116	-5.033
C00460	5.033	5.116	5.555	5.994	6.077
C00286	-6.77	-6.586	-5.6	-4.614	-4.43
C00283	3.128	3.343	4.4915	5.64	5.855
C00282	-6.077	-5.994	-5.555	-5.116	-5.033
C00320	0.0	0.0	0.0	0.0	0.0
C01962	-6.077	-5.994	-5.555	-5.116	-5.033
C00088	0.0	0.0	0.0	0.0	0.0
C04691	-1.095	-0.922	0.0	0.922	1.095
C02218	-6.077	-5.994	-5.555	-5.116	-5.033
C05947	0.0	0.0	0.0	0.0	0.0
C05946	0.0	0.0	0.0	0.0	0.0
C01209	-3.418	-3.245	-2.322	-1.399	-1.226
C00217	-4.103	-3.914	-2.9035	-1.893	-1.704
C00214	0.0	0.0	0.0	0.0	0.0
C00212	6.319	6.354	6.539	6.724	6.759
C00606	2.069	2.288	3.459	4.63	4.849
C06399	-6.077	-5.994	-5.555	-5.116	-5.033
C05841	5.033	5.116	5.555	5.994	6.077
C00035	-2.763	-2.577	-1.585	-0.593	-0.407
C05844	-6.077	-5.994	-5.555	-5.116	-5.033
C00033	3.598	3.777	4.7275	5.678	5.857
C00031	-5.173	-5.002	-4.087	-3.172	-3.001
C00136	3.454	3.663	4.781	5.899	6.108
C00135	2.308	2.479	3.3905	4.302	4.473
C00134	-4.592	-4.402	-3.3905	-2.379	-2.189
C00133	-6.086	-5.911	-4.977	-4.043	-3.868
C00131	-2.781	-2.546	-1.2925	-0.039	0.196
C00130	0.363	0.556	1.585	2.614	2.807
C05635	-6.077	-5.994	-5.555	-5.116	-5.033
C05634	5.033	5.116	5.555	5.994	6.077
C06112	0.0	0.0	0.0	0.0	0.0
C00043	-3.349	-3.136	-2.0	-0.864	-0.651
C00041	-5.289	-5.105	-4.1285	-3.152	-2.968
C00040	6.349	6.381	6.555	6.729	6.761
C00047	-4.518	-4.329	-3.322	-2.315	-2.126
C00046	3.823	4.022	5.087	6.152	6.351
C00044	-4.077	-3.859	-2.696	-1.533	-1.315
C00049	-3.92	-3.709	-2.585	-1.461	-1.25
C00048	-0.39	-0.124	1.2925	2.709	2.975
C02642	-6.077	-5.994	-5.555	-5.116	-5.033
C00149	1.611	1.83	3.0	4.17	4.389
C06481	0.488	0.661	1.585	2.509	2.682
C20440	-3.25	-3.078	-2.161	-1.244	-1.072
C06482	-6.077	-5.994	-5.555	-5.116	-5.033
C04236	-6.077	-5.994	-5.555	-5.116	-5.033
C01101	5.033	5.116	5.555	5.994	6.077
C01100	1.628	1.815	2.807	3.799	3.986
C01103	1.397	1.585	2.585	3.585	3.773
C01102	0.0	0.0	0.0	0.0	0.0
C05125	-4.367	-4.121	-2.807	-1.493	-1.247
C03688	5.033	5.116	5.555	5.994	6.077
C06002	5.033	5.116	5.555	5.994	6.077
C06007	-3.66	-3.47	-2.4535	-1.437	-1.247
C06006	-3.1	-2.926	-2.0	-1.074	-0.9
C00227	-2.405	-2.104	-0.5	1.104	1.405
C16565	-6.077	-5.994	-5.555	-5.116	-5.033
C04633	-3.485	-3.301	-2.322	-1.343	-1.159
C16255	-6.831	-6.798	-6.622	-6.446	-6.413
C00954	-7.048	-7.016	-6.845	-6.674	-6.642
C00957	2.826	3.056	4.285	5.514	5.744
C05345	3.436	3.631	4.672	5.713	5.908
C00818	-6.077	-5.994	-5.555	-5.116	-5.033
C00819	0.0	0.0	0.0	0.0	0.0
C00424	-6.077	-5.994	-5.555	-5.116	-5.033
C00429	5.033	5.116	5.555	5.994	6.077
C00817	0.0	0.0	0.0	0.0	0.0
C03451	5.033	5.116	5.555	5.994	6.077
C01672	5.033	5.116	5.555	5.994	6.077
C00036	-5.569	-5.335	-4.087	-2.839	-2.605
C05223	-3.66	-3.49	-2.585	-1.68	-1.51
C00037	1.19	1.39	2.4535	3.517	3.717
C15809	5.033	5.116	5.555	5.994	6.077
C16698	-7.004	-6.973	-6.807	-6.641	-6.61
C03912	0.0	0.0	0.0	0.0	0.0
C02512	5.033	5.116	5.555	5.994	6.077
C00253	-7.08	-7.049	-6.883	-6.717	-6.686
C00250	5.033	5.116	5.555	5.994	6.077
C00251	-5.886	-5.69	-4.644	-3.598	-3.402
C00256	5.033	5.116	5.555	5.994	6.077
C05338	5.033	5.116	5.555	5.994	6.077
C00255	-3.999	-3.826	-2.9035	-1.981	-1.808
C05336	-6.077	-5.994	-5.555	-5.116	-5.033
C00392	6.5	6.532	6.707	6.882	6.914
C00258	1.904	2.104	3.17	4.236	4.436
C05335	-5.489	-5.316	-4.392	-3.468	-3.295
C16596	-6.077	-5.994	-5.555	-5.116	-5.033
C04390	5.033	5.116	5.555	5.994	6.077
C01081	-6.077	-5.994	-5.555	-5.116	-5.033
C01083	5.033	5.116	5.555	5.994	6.077
C00559	-3.999	-3.81	-2.807	-1.804	-1.615
C00491	5.033	5.116	5.555	5.994	6.077
C00492	5.033	5.116	5.555	5.994	6.077
C00493	-1.909	-1.687	-0.5	0.687	0.909
C00555	5.033	5.116	5.555	5.994	6.077
C01089	5.033	5.116	5.555	5.994	6.077
C00498	-3.772	-3.563	-2.4535	-1.344	-1.135
C00882	-3.101	-2.927	-2.0	-1.073	-0.899
C00881	5.033	5.116	5.555	5.994	6.077
C00078	5.033	5.116	5.555	5.994	6.077
C00079	-0.122	0.148	1.585	3.022	3.292
C00072	6.584	6.616	6.781	6.946	6.978
