Compound_code	Compound_name	Metabolite_score	p_value
C05528	3-Sulfopyruvate	-6.257	<0.01
C05527	3-Sulfinylpyruvate	0.0	n.s.
C00027	Hydrogen_peroxide	-6.966	<0.01
C02876	Propanoyl_phosphate	-1.322	<0.01
C16242	Cobalt-precorrin_5A	0.0	<0.01
C16243	Cobalt-precorrin_5B	-1.585	<0.01
C06723	6-Carboxyhex-2-enoyl-CoA	5.129	n.s.
C00944	3-Dehydroquinate	-0.0	<0.01
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	2.585	<0.01
C02430	L-Methionyl-tRNA	-2.322	<0.01
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	0.0	<0.05
C14819	Fe3+	-5.954	n.s.
C14818	Fe2+	5.954	n.s.
C00431	5-Aminopentanoate	-8.836	<0.01
C00437	N-Acetylornithine	0.0	<0.01
C01451	Salicin	2.807	<0.01
C00438	N-Carbamoyl-L-aspartate	-2.322	<0.01
C00826	L-Arogenate	0.0	<0.01
C00534	Pyridoxamine	0.0	n.s.
C00469	Ethanol	4.644	<0.01
C01181	4-Trimethylammoniobutanoate	0.0	<0.01
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-2.0	<0.01
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	2.807	<0.01
C01185	Nicotinate_D-ribonucleotide	3.459	<0.01
C15812	[Enzyme]-S-sulfanylcysteine	-3.322	<0.01
C15813	C15813	0.0	n.s.
C15810	C15810	0.0	n.s.
C15811	[Enzyme]-cysteine	4.087	<0.01
C15814	C15814	0.0	n.s.
C15815	C15815	0.0	<0.01
C16688	Sucrose_6-phosphate	0.0	<0.01
C05752	Octanoyl-[acp]	3.322	<0.01
C00794	D-Sorbitol	3.406	<0.01
C05840	Iminoaspartate	-0.0	<0.01
C00886	L-Alanyl-tRNA	-3.585	<0.01
C00506	L-Cysteate	6.257	<0.01
C01233	sn-Glycero-3-phosphoethanolamine	1.585	<0.01
C00226	Primary_alcohol	4.644	<0.01
C00222	3-Oxopropanoate	0.0	n.s.
C00221	beta-D-Glucose	3.807	<0.01
C00385	Xanthine	-1.948	<0.01
C00387	Guanosine	3.503	<0.01
C02504	alpha-Isopropylmalate	0.0	<0.01
C00229	Acyl-carrier_protein	1.585	n.s.
C00499	Allantoate	2.585	<0.01
C00380	Cytosine	0.0	n.s.
C16396	2,4-Diamino-6-nitrotoluene	6.08	<0.01
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	n.s.
C00546	Methylglyoxal	-3.807	<0.01
C16399	2,4-Diamino-6-hydroxylaminotoluene	-6.08	<0.01
C16217	3-Hydroxyoctadecanoyl-CoA	-4.0	<0.01
C02291	L-Cystathionine	2.585	<0.01
C00364	dTMP	-2.0	<0.01
C00365	dUMP	0.0	<0.01
C00362	dGMP	0.0	n.s.
C16244	Cobalt-precorrin_7	0.0	<0.01
C00360	dAMP	0.0	n.s.
C00008	ADP	-4.47	<0.01
C00007	Oxygen	6.966	<0.01
C00006	NADP+	-2.807	<0.01
C00003	NAD+	-0.737	<0.01
C00002	ATP	4.73	<0.01
C00369	Starch	3.392	<0.01
C05703	Methaneselenol	-6.248	<0.01
C06613	trans-3-Chloroallyl_aldehyde	-2.907	<0.01
C06507	Adenosyl_cobyrinate_hexaamide	0.0	<0.01
C16619	6-Thioguanosine_monophosphate	-3.907	<0.01
C11062	4-Hydroxybutyryl-CoA	6.508	<0.01
C02612	(R)-2-Methylmalate	0.0	<0.01
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-3.17	<0.01
C16614	6-Methylmercaptopurine	3.17	<0.01
C00645	N-Acetyl-D-mannosamine	-0.807	<0.01
C00099	beta-Alanine	0.0	<0.01
C00311	Isocitrate	0.0	n.s.
C00310	D-Xylulose	-2.0	<0.01
C00641	1,2-Diacyl-sn-glycerol	2.0	n.s.
C01931	L-Lysyl-tRNA	-5.0	<0.01
C00315	Spermidine	0.0	n.s.
C00314	Pyridoxine	1.585	<0.01
C00091	Succinyl-CoA	5.047	<0.01
C00760	Cellulose	0.0	<0.01
C00093	sn-Glycerol_3-phosphate	2.787	<0.01
C00094	Sulfite	0.0	<0.01
C00095	D-Fructose	-0.585	<0.01
C00096	GDP-mannose	0.0	n.s.
C00097	L-Cysteine	2.988	<0.01
C14099	2-Naphthaldehyde	-4.644	<0.01
C06311	Galactitol_1-phosphate	-3.7	<0.01
C00433	2,5-Dioxopentanoate	0.0	<0.01
C14090	1-Naphthaldehyde	-4.644	<0.01
C14095	2-Hydroxy-3-carboxybenzalpyruvate	5.129	n.s.
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	2.0	<0.01
C14096	3-Formylsalicylic_acid	-5.129	n.s.
C02702	L-Prolyl-tRNA(Pro)	-5.833	n.s.
C04732	5-Amino-6-(1-D-ribitylamino)uracil	0.0	<0.05
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	n.s.
C05172	Selenophosphoric_acid	0.0	<0.01
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	0.0	<0.01
C11949	3-Isopropylbut-3-enoyl-CoA	-0.0	<0.01
C05775	alpha-Ribazole	0.0	n.s.
C07118	Benzoyl_acetyl-CoA	0.0	<0.01
C05773	Cobyrinate	-2.0	<0.01
C05778	Sirohydrochlorin	1.322	n.s.
C05670	3-Aminopropiononitrile	1.0	<0.01
C00164	Acetoacetate	-3.322	<0.01
C00166	Phenylpyruvate	3.557	<0.01
C00167	UDP-glucuronate	-3.0	<0.01
C00160	Glycolate	6.527	<0.01
C03794	N6-(1,2-Dicarboxyethyl)-AMP	0.0	n.s.
C00162	Fatty_acid	0.0	<0.01
C00163	Propanoate	5.459	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-4.0	<0.01
