Compound_code	Compound_name	Metabolite_score	Sim_Median	Sim_IQR_25	Sim_IQR_75	Sim_Lower_95_interval	Sim_Upper_95_interval	Significance
C05528	3-Sulfopyruvate	-7.366	-4.585	-5.79725	-3.459	-4.67659655	-4.5303478	n.s.
C05527	3-Sulfinylpyruvate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00027	Hydrogen_peroxide	-8.077	-4.0	-5.555	-2.322	-4.087769	-3.9633124	*
C02876	Propanoyl_phosphate	-2.17	0.0	-3.7	3.585	-0.05846	0.056643	n.s.
C16242	Cobalt-precorrin_5A	1.0	0.0	-4.7	4.7	-0.07426	0.07426	n.s.
C16243	Cobalt-precorrin_5B	-2.585	0.0	-4.644	4.7	-0.0733752	0.07426	n.s.
C06723	6-Carboxyhex-2-enoyl-CoA	6.248	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C00944	3-Dehydroquinate	-1.0	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	3.585	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C02430	L-Methionyl-tRNA	-3.459	0.0	-4.755	4.7	-0.075129	0.07426	n.s.
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-0.0	0.0	-4.644	4.644	-0.0733752	0.0733752	n.s.
C14819	Fe3+	-7.066	-4.0	-5.585	-2.322	-4.088243	-3.9633124	n.s.
C14818	Fe2+	7.066	4.0	2.322	5.585	3.9633124	4.088243	n.s.
C00431	5-Aminopentanoate	-9.947	-4.615	-5.907	-3.392	-4.7083306	-4.5614064	*
C00437	N-Acetylornithine	0.0	2.379	-4.17	4.959	2.313114	2.4573522	n.s.
C01451	Salicin	4.0	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C00438	N-Carbamoyl-L-aspartate	-3.392	0.0	-3.644	3.644	-0.0575752	0.0575752	n.s.
C00826	L-Arogenate	0.0	4.0	2.322	5.555	3.9633124	4.087769	n.s.
C00534	Pyridoxamine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
