sample	cage	mouse	gender	abx	treatment
CefC1M1	1	1	F	cefoperazone	630
CefC1M2	1	2	F	cefoperazone	630
CefC1M3	1	3	F	cefoperazone	630
CefC2M1	2	1	M	cefoperazone	630
CefC2M2	2	2	M	cefoperazone	630
CefC2M3	2	3	M	cefoperazone	630
CefC3M1	3	1	M	cefoperazone	630
CefC3M2	3	2	M	cefoperazone	630
CefC3M3	3	3	M	cefoperazone	630
CefC4M1	4	1	F	cefoperazone	mock
CefC4M2	4	2	F	cefoperazone	mock
CefC4M3	4	3	F	cefoperazone	mock
CefC5M1	5	1	M	cefoperazone	mock
CefC5M2	5	2	M	cefoperazone	mock
CefC5M3	5	3	M	cefoperazone	mock
CefC6M1	6	1	M	cefoperazone	mock
CefC6M2	6	2	M	cefoperazone	mock
CefC6M3	6	3	M	cefoperazone	mock
ClindaC1M1	1	1	F	clindamycin	630
ClindaC1M2	1	2	F	clindamycin	630
ClindaC1M3	1	3	F	clindamycin	630
ClindaC2M1	2	1	F	clindamycin	630
ClindaC2M2	2	2	F	clindamycin	630
ClindaC2M3	2	3	F	clindamycin	630
ClindaC3M1	3	1	M	clindamycin	630
ClindaC3M2	3	2	M	clindamycin	630
ClindaC3M3	3	3	M	clindamycin	630
ClindaC4M1	4	1	F	clindamycin	mock
ClindaC4M2	4	2	F	clindamycin	mock
ClindaC4M3	4	3	F	clindamycin	mock
ClindaC5M1	5	1	M	clindamycin	mock
ClindaC5M2	5	2	M	clindamycin	mock
ClindaC5M3	5	3	M	clindamycin	mock
ClindaC6M1	6	1	M	clindamycin	mock
ClindaC6M2	6	2	M	clindamycin	mock
ClindaC6M3	6	3	M	clindamycin	mock
ConvC1M1	1	1	F	none	none
ConvC1M2	1	2	F	none	none
ConvC1M3	1	3	F	none	none
ConvC1M4	1	4	F	none	none
ConvC2M1	2	1	M	none	none
ConvC2M2	2	2	M	none	none
ConvC2M3	2	3	M	none	none
ConvC2M4	2	4	M	none	none
StrepC1M1	1	1	F	streptomycin	630
StrepC1M2	1	2	F	streptomycin	630
StrepC1M3	1	3	F	streptomycin	630
StrepC2M1	2	1	M	streptomycin	630
StrepC2M2	2	2	M	streptomycin	630
StrepC2M3	2	3	M	streptomycin	630
StrepC3M1	3	1	M	streptomycin	630
StrepC3M2	3	2	M	streptomycin	630
StrepC3M3	3	3	M	streptomycin	630
StrepC4M1	4	1	F	streptomycin	mock
StrepC4M2	4	2	F	streptomycin	mock
StrepC4M3	4	3	F	streptomycin	mock
StrepC5M1	5	1	M	streptomycin	mock
StrepC5M2	5	2	M	streptomycin	mock
StrepC5M3	5	3	M	streptomycin	mock
StrepC6M1	6	1	M	streptomycin	mock
StrepC6M2	6	2	M	streptomycin	mock
StrepC6M3	6	3	M	streptomycin	mock
