Compound_code	Compound_name	Metabolite_score	Sim_Mean	Sim_StD	Std_from_Sim_Mean
C05528	3-Sulfopyruvate	-2.807	-1.877	2.309	0
C05527	3-Sulfinylpyruvate	0.0	0.0	0.0	0
C00027	Hydrogen_peroxide	0.0	-1.353	2.126	0
C02876	Propanoyl_phosphate	-5.931	-0.021	2.613	2
C16242	Cobalt-precorrin_5A	-1.585	0.112	3.381	0
C16243	Cobalt-precorrin_5B	0.0	-0.048	3.372	0
C06723	6-Carboxyhex-2-enoyl-CoA	3.32	1.308	2.127	0
C00944	3-Dehydroquinate	-0.0	-1.407	2.204	0
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	0.0	1.361	2.133	0
C02430	L-Methionyl-tRNA	-3.7	-0.148	3.486	1
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-0.0	0.103	3.461	0
C14819	Fe3+	-3.17	-1.422	2.228	0
C14818	Fe2+	3.168	1.421	2.228	0
C00431	5-Aminopentanoate	-5.687	-1.862	2.303	1
C00437	N-Acetylornithine	0.0	0.412	3.499	0
C01451	Salicin	0.0	1.388	2.111	0
C00438	N-Carbamoyl-L-aspartate	1.807	-0.056	2.911	0
C00826	L-Arogenate	0.0	1.451	2.207	0
C00534	Pyridoxamine	0.0	0.0	0.0	0
C00469	Ethanol	3.246	1.781	2.207	0
C01181	4-Trimethylammoniobutanoate	0.0	-1.424	2.151	0
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	0.0	-0.121	3.599	0
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	0.0	1.329	2.174	0
C01185	Nicotinate_D-ribonucleotide	1.316	0.631	3.433	0
C15812	[Enzyme]-S-sulfanylcysteine	-2.0	0.125	3.526	0
C15813	C15813	0.0	0.0	0.0	0
C15810	C15810	0.0	0.0	0.0	0
C15811	[Enzyme]-cysteine	2.319	1.398	2.234	0
C15814	C15814	0.0	0.0	0.0	0
C15815	C15815	0.0	-0.077	2.835	0
C16688	Sucrose_6-phosphate	0.0	-0.15	3.477	0
C05752	Octanoyl-[acp]	3.17	-0.192	3.578	0
C00794	D-Sorbitol	0.0	2.484	2.272	1
C05840	Iminoaspartate	0.0	0.2	3.379	0
C00886	L-Alanyl-tRNA	-2.0	-1.473	2.171	0
C00506	L-Cysteate	2.805	1.875	2.309	0
C01233	sn-Glycero-3-phosphoethanolamine	0.0	1.566	2.334	0
C00226	Primary_alcohol	3.246	1.781	2.207	0
C00222	3-Oxopropanoate	0.0	0.0	0.0	0
C00221	beta-D-Glucose	0.0	1.439	2.211	0
C00385	Xanthine	0.394	0.293	3.342	0
C00387	Guanosine	1.733	1.912	2.301	0
C02504	alpha-Isopropylmalate	0.0	0.368	3.329	0
C00229	Acyl-carrier_protein	-1.585	-0.089	3.339	0
C00499	Allantoate	0.0	1.467	2.234	0
C00380	Cytosine	0.0	0.0	0.0	0
C16396	2,4-Diamino-6-nitrotoluene	1.216	2.274	2.317	0
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	0.0	0.0	0
C00546	Methylglyoxal	-1.0	-1.897	2.192	0
C16399	2,4-Diamino-6-hydroxylaminotoluene	-1.222	-2.276	2.316	0
C16217	3-Hydroxyoctadecanoyl-CoA	-0.0	-1.502	2.263	0
C02291	L-Cystathionine	0.0	1.417	2.242	0
C00364	dTMP	-2.322	0.046	3.415	0
C00365	dUMP	0.322	0.446	2.88	0
C00362	dGMP	0.0	0.0	0.0	0
C16244	Cobalt-precorrin_7	-0.0	0.343	3.438	0
C00360	dAMP	0.0	0.0	0.0	0
C00008	ADP	-4.883	-0.586	3.495	1
C00007	Oxygen	0.0	1.352	2.125	0
C00006	NADP+	-0.0	-1.58	2.326	0
C00003	NAD+	0.0	-0.243	3.721	0
C00002	ATP	6.129	1.373	3.691	1
C00369	Starch	0.0	-0.092	2.967	0
C05703	Methaneselenol	-1.807	-1.867	2.301	0
C06613	trans-3-Chloroallyl_aldehyde	-1.511	-0.15	2.376	0
C06507	Adenosyl_cobyrinate_hexaamide	0.0	0.228	3.169	0
C16619	6-Thioguanosine_monophosphate	-3.807	-1.975	2.339	0
C11062	4-Hydroxybutyryl-CoA	0.0	1.392	2.107	0
C02612	(R)-2-Methylmalate	0.0	1.862	2.225	0
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-3.322	-1.597	2.328	0
C16614	6-Methylmercaptopurine	3.32	1.596	2.328	0
C00645	N-Acetyl-D-mannosamine	-4.459	-1.837	2.275	1
C00099	beta-Alanine	0.0	-0.3	3.058	0
C00311	Isocitrate	0.0	0.123	2.547	0
C00310	D-Xylulose	-0.0	0.208	3.395	0
C00641	1,2-Diacyl-sn-glycerol	0.0	0.001	3.133	0
C01931	L-Lysyl-tRNA	-5.644	-1.507	2.262	1
C00315	Spermidine	0.0	0.0	0.0	0
C00314	Pyridoxine	0.0	1.461	2.217	0
C00091	Succinyl-CoA	1.926	0.454	2.23	0
C00760	Cellulose	0.0	-0.023	3.038	0
C00093	sn-Glycerol_3-phosphate	0.341	0.412	3.889	0
C00094	Sulfite	0.0	0.305	1.495	0
C00095	D-Fructose	1.0	0.484	3.826	0
C00096	GDP-mannose	0.0	0.0	0.0	0
C00097	L-Cysteine	1.283	0.389	3.621	0
C14099	2-Naphthaldehyde	-3.248	-1.783	2.206	0
C06311	Galactitol_1-phosphate	0.0	-2.244	2.295	0
C00433	2,5-Dioxopentanoate	0.0	1.422	2.151	0
C14090	1-Naphthaldehyde	-3.248	-1.783	2.206	0
C14095	2-Hydroxy-3-carboxybenzalpyruvate	3.32	1.308	2.127	0
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	1.996	1.496	2.343	0
C14096	3-Formylsalicylic_acid	-3.322	-1.31	2.127	0
C02702	L-Prolyl-tRNA(Pro)	-3.807	-1.455	2.235	1
C04732	5-Amino-6-(1-D-ribitylamino)uracil	0.0	-0.104	3.461	0
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	0.0	0.0	0
C05172	Selenophosphoric_acid	0.0	1.44	2.206	0
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	0.0	1.429	2.246	0
C11949	3-Isopropylbut-3-enoyl-CoA	0.0	-1.431	2.246	0
C05775	alpha-Ribazole	0.0	-0.024	2.94	0
