Compound_code	Compound_name	Metabolite_score	Sim_Median	Sim_IQR_25	Sim_IQR_75	Sim_Lower_95_interval	Sim_Upper_95_interval	Significance
C05528	3-Sulfopyruvate	-7.574	-5.781	-6.895	-4.585	-5.889941	-5.708557	n.s.
C05527	3-Sulfinylpyruvate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00027	Hydrogen_peroxide	-8.864	-5.17	-6.714	-3.459	-5.2760812	-5.1153478	n.s.
C02876	Propanoyl_phosphate	-5.34	0.0	-4.781	4.858	-0.0755398	0.0767564	n.s.
C16242	Cobalt-precorrin_5A	-2.585	0.0	-5.833	5.781	-0.0921614	0.0913398	n.s.
C16243	Cobalt-precorrin_5B	-2.322	0.0	-5.807	5.781	-0.0917506	0.0913398	n.s.
C06723	6-Carboxyhex-2-enoyl-CoA	6.539	5.209	3.459	6.714	5.1543478	5.3150812	n.s.
C00944	3-Dehydroquinate	-3.585	-5.17	-6.687	-3.322	-5.2756546	-5.1175124	n.s.
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	5.087	5.209	3.585	6.687	5.152357	5.3146546	n.s.
C02430	L-Methionyl-tRNA	-5.087	0.0	-5.807	5.858	-0.0917506	0.0925564	n.s.
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-7.0	0.0	-5.755	5.781	-0.090929	0.0913398	n.s.
C14819	Fe3+	-7.788	-5.209	-6.7	-3.459	-5.31486	-5.1543478	n.s.
C14818	Fe2+	7.788	5.209	3.459	6.7	5.1543478	5.31486	n.s.
C00431	5-Aminopentanoate	-10.835	-5.768	-6.937	-4.585	-5.8776046	-5.695557	*
C00437	N-Acetylornithine	0.0	3.609	-5.33375	6.064	3.52472675	3.7048112	n.s.
C01451	Salicin	2.0	5.17	3.459	6.714	5.1153478	5.2760812	n.s.
C00438	N-Carbamoyl-L-aspartate	-4.285	0.0	-4.781	4.807	-0.0755398	0.0759506	n.s.
C00826	L-Arogenate	3.7	5.209	3.459	6.7	5.1543478	5.31486	n.s.
C00534	Pyridoxamine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00469	Ethanol	9.567	5.781	4.615	6.919	5.708083	5.8903202	*
C01181	4-Trimethylammoniobutanoate	-2.807	-5.17	-6.644	-3.459	-5.2749752	-5.1153478	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	2.807	0.0	-5.931	5.858	-0.0937098	0.0925564	n.s.
