Compound_code	Lower_99_Interval	Lower_95_Interval	Sim_Median	Upper_95_Interval	Upper_99_Interval
C05528	-6.828	-6.794	-6.615	-6.436	-6.402
C05527	0.0	0.0	0.0	0.0	0.0
C00027	-5.964	-5.892	-5.508	-5.124	-5.052
C02876	-3.274	-3.073	-2.0	-0.927	-0.726
C16242	-2.098	-1.925	-1.0	-0.075	0.098
C16243	-3.996	-3.823	-2.9035	-1.984	-1.811
C06723	5.052	5.124	5.508	5.892	5.964
C00944	-5.964	-5.892	-5.508	-5.124	-5.052
C16595	5.052	5.124	5.508	5.892	5.964
C02430	-2.394	-2.22	-1.2925	-0.365	-0.191
C04332	1.598	1.772	2.696	3.62	3.794
C14819	-5.964	-5.892	-5.508	-5.124	-5.052
C14818	5.052	5.124	5.508	5.892	5.964
C00431	-6.954	-6.923	-6.755	-6.587	-6.556
C00437	-5.426	-5.246	-4.285	-3.324	-3.144
C01451	5.052	5.124	5.508	5.892	5.964
C00438	0.314	0.515	1.585	2.655	2.856
C00826	5.052	5.124	5.508	5.892	5.964
C00534	0.0	0.0	0.0	0.0	0.0
C00469	6.475	6.507	6.6795	6.852	6.884
C01181	-5.964	-5.892	-5.508	-5.124	-5.052
C04877	-2.889	-2.716	-1.7925	-0.869	-0.696
C04874	5.052	5.124	5.508	5.892	5.964
C01185	-5.538	-5.362	-4.4255	-3.489	-3.313
C15812	-0.101	0.073	1.0	1.927	2.101
C15813	0.0	0.0	0.0	0.0	0.0
C15810	0.0	0.0	0.0	0.0	0.0
C15811	5.052	5.124	5.508	5.892	5.964
C15814	0.0	0.0	0.0	0.0	0.0
C15815	-3.436	-3.235	-2.161	-1.087	-0.886
C16688	-2.089	-1.917	-1.0	-0.083	0.089
C05752	1.701	1.876	2.807	3.738	3.913
C00794	6.214	6.248	6.426	6.604	6.638
C05840	-3.909	-3.735	-2.807	-1.879	-1.705
C00886	-5.964	-5.892	-5.508	-5.124	-5.052
C00506	6.402	6.436	6.615	6.794	6.828
C01233	5.052	5.124	5.508	5.892	5.964
C00226	6.475	6.507	6.6795	6.852	6.884
